message,label
"Dear Customer, A/C XX3040 debited by INR 20356.00 on 15-Mar-25. Trf to VPA zomato@upi. Ref No 428479. Not you? Call 1800422737 -IDFC FIRST",1
Zomato: Your order #312552 has been delivered. Rate your experience: https://short.url/88875,0
Your SBI a/c 7435 credited ₹43722.00 (UPI Ref 143766) from VPA rajesh@okicici. Bal: ₹40749,1
Job Alert: TCS hiring freshers! CTC 8LPA. Apply by 24-Nov-25: https://short.url/82380,0
Your Netflix subscription will renew on 19-Mar-25 for ₹786. Manage account: https://short.url/68773,0
Your a/c XXXXX4281 credited INR 36539.00 by UPI REF NO 701904 on 28-Feb-25. Bal: INR 2768 -ICICI,1
Your IndusInd a/c 8713 credited ₹10866.00 (UPI Ref 503839) from VPA electricity@upi. Bal: ₹69816,1
Your Axis a/c 1035 debited ₹49241.00 on 6-May-25. UPI txn to VPA rajesh@okicici. Dispute: 1800718677,1
Your a/c XXXXX9691 credited INR 41761.00 by UPI REF NO 101523 on 24-Apr-25. Bal: INR 33100 -HDFC,1
Received Rs.13721.00 from VPA mobile@upi UPI Ref 735710. Current balance: Rs.65147 -Kotak,1
Job Alert: Google hiring freshers! CTC 10LPA. Apply by 8-Jan-25: https://short.url/34508,0
Aadhya added you on Facebook! View profile: https://short.url/49936,0
UPI AutoPay: ₹9531.00 deducted for Spotify SUBSCRPTN Ref 144283. Next due 3-Apr-25 -IDFC FIRST,1
Your HDFC a/c 3111 credited ₹7261.00 (UPI Ref 296961) from VPA electricity@upi. Bal: ₹79767,1
Your OTP for Spotify login is 986795. Valid for 10 mins. Do not share with anyone.,0
IRCTC: WL4 for 12564 DLI-PNBE Exp has been CONFIRMED. Charting at 21:20 hrs,0
Money sent: ₹7687.00 to VPA zomato@upi UPI Ref 581041. Current balance: ₹19109 -HDFC,1
UPI: INR 47803.00 paid to Riya (UPI Ref 234919). Not you? Block txn: https://short.url/75510 -Kotak,1
Your SBI a/c 1457 debited ₹5194.00 on 2-May-25. UPI txn to VPA zomato@upi. Dispute: 1800884603,1
Alert: Acct XXX4671 debited Rs.48315.00 on 7-Nov-25 to Electricity.UPI. Call 1800170337 if unrecognized -Yes Bank,1
UPI: INR 11610.00 paid to Pooja (UPI Ref 419385). Not you? Block txn: https://short.url/75759 -Axis,1
UPI: INR 41319.00 paid to Vihaan (UPI Ref 176172). Not you? Block txn: https://short.url/89918 -IndusInd,1
Amazon Great Indian Sale: Get 52% off on grocery. Shop now: https://short.url/79302,0
Alert: Acct XXX7277 debited Rs.47860.00 on 11-Aug-25 to Zomato. Call 1800914114 if unrecognized -HDFC,1
Your OTP for Amazon Prime login is 785016. Valid for 10 mins. Do not share with anyone.,0
Your PNB a/c 6481 credited ₹6119.00 (UPI Ref 889778) from VPA salary@hdfc. Bal: ₹42146,1
Job Alert: Amazon hiring freshers! CTC 4LPA. Apply by 3-Feb-25: https://short.url/23313,0
Loan approved! Get ₹500000 personal loan at 9.99% interest. Call +1-428-820-8106 -PNB Loans,0
Zomato: Your order #738802 has been delivered. Rate your experience: https://short.url/70017,0
Your ICICI a/c 8243 credited ₹34504.00 (UPI Ref 900757) from VPA zomato@upi. Bal: ₹13472,1
Your OTP for Hotstar login is 253676. Valid for 10 mins. Do not share with anyone.,0
Your a/c XXXXX9222 credited INR 16008.00 by UPI REF NO 130363 on 28-Mar-25. Bal: INR 16299 -Kotak,1
IRCTC: WL8 for 12956 DLI-PNBE Exp has been CONFIRMED. Charting at 12:26 hrs,0
Job Alert: Infosys hiring freshers! CTC 7LPA. Apply by 24-Jul-25: https://short.url/61215,0
Your Amazon Prime subscription will renew on 6-Nov-25 for ₹204. Manage account: https://short.url/42193,0
"Dear Customer, A/C XX8342 debited by INR 41537.00 on 22-Aug-25. Trf to VPA mobile@upi. Ref No 815681. Not you? Call 1800395641 -HDFC",1
Your a/c XXXXX3541 credited INR 28111.00 by UPI REF NO 233464 on 19-Apr-25. Bal: INR 46746 -HDFC,1
Money sent: ₹46785.00 to VPA electricity@upi UPI Ref 768226. Current balance: ₹78211 -SBI,1
IRCTC: WL19 for 12792 DLI-PNBE Exp has been CONFIRMED. Charting at 13:55 hrs,0
