message,label
"Dear Customer, A/C XX4788 debited by INR 46600.00 on 16-Feb-25. Trf to VPA rajesh@okicici. Ref No 752211. Not you? Call 1800959602 -PNB",1
Your OTP for YouTube Premium login is 386140. Valid for 10 mins. Do not share with anyone.,0
UPI: INR 16768.00 paid to Saanvi (UPI Ref 558413). Not you? Block txn: https://short.url/82988 -HDFC,1
Myntra End of Season Sale: Get 37% off on fashion. Shop now: https://short.url/64549,0
Dhruv added you on LinkedIn! View profile: https://short.url/87628,0
Your a/c XXXXX5392 credited INR 22741.00 by UPI REF NO 639159 on 13-Apr-25. Bal: INR 9374 -ICICI,1
Your a/c XXXXX5179 credited INR 39425.00 by UPI REF NO 178066 on 4-Oct-25. Bal: INR 44248 -HDFC,1
Alert: Acct XXX6848 debited Rs.3630.00 on 11-Sep-25 to Electricity.UPI. Call 1800535382 if unrecognized -ICICI,1
Your a/c XXXXX2397 credited INR 2111.00 by UPI REF NO 199902 on 3-Jul-25. Bal: INR 54417 -IDFC FIRST,1
Money sent: ₹45246.00 to VPA mobile@upi UPI Ref 149485. Current balance: ₹71501 -Axis,1
Job Alert: Wipro hiring freshers! CTC 12LPA. Apply by 28-Nov-25: https://short.url/20181,0
Google Alert: New login detected from Kolkata on Edge Windows. Approve? Reply Y/N,0
Received Rs.44288.00 from VPA rajesh@okicici UPI Ref 681355. Current balance: Rs.60593 -SBI,1
Received Rs.10235.00 from VPA mobile@upi UPI Ref 364410. Current balance: Rs.75346 -PNB,1
Your OTP for YouTube Premium login is 380582. Valid for 10 mins. Do not share with anyone.,0
IRCTC: WL15 for 12956 DLI-PNBE Exp has been CONFIRMED. Charting at 15:12 hrs,0
Received Rs.7646.00 from VPA electricity@upi UPI Ref 613003. Current balance: Rs.60524 -SBI,1
Your a/c XXXXX2320 credited INR 49909.00 by UPI REF NO 647629 on 13-May-25. Bal: INR 27667 -IndusInd,1
UPI: INR 3174.00 paid to Reyansh (UPI Ref 714154). Not you? Block txn: https://short.url/31688 -PNB,1
Alert: Acct XXX2122 debited Rs.2021.00 on 15-Nov-25 to JioFiber. Call 1800093215 if unrecognized -PNB,1
UPI AutoPay: ₹10977.00 deducted for Spotify SUBSCRPTN Ref 664108. Next due 13-Apr-25 -PNB,1
UPI AutoPay: ₹21437.00 deducted for Netflix SUBSCRPTN Ref 356883. Next due 3-Apr-25 -IDFC FIRST,1
Loan approved! Get ₹200000 personal loan at 12.5% interest. Call (568)657-6831 -Axis Loans,0
"Dear Customer, A/C XX7595 debited by INR 2648.00 on 16-Nov-25. Trf to VPA zomato@upi. Ref No 623445. Not you? Call 1800596881 -IDFC FIRST",1
IRCTC: WL1 for 12685 BBS-HWH Exp has been CONFIRMED. Charting at 22:46 hrs,0
Your HDFC a/c 6355 debited ₹38300.00 on 4-Sep-25. UPI txn to VPA mobile@upi. Dispute: 1800851867,1
Google Alert: New login detected from Mumbai on Safari Mac. Approve? Reply Y/N,0
Job Alert: Google hiring freshers! CTC 10LPA. Apply by 26-Aug-25: https://short.url/40168,0
IRCTC: WL18 for 12956 BBS-HWH Exp has been CONFIRMED. Charting at 20:14 hrs,0
UPI: INR 1260.00 paid to Ishaan (UPI Ref 623306). Not you? Block txn: https://short.url/91725 -IndusInd,1
Job Alert: Wipro hiring freshers! CTC 12LPA. Apply by 27-Aug-25: https://short.url/13359,0
Received Rs.18999.00 from VPA salary@hdfc UPI Ref 693654. Current balance: Rs.29829 -IndusInd,1
Your OTP for Amazon Prime login is 503165. Valid for 10 mins. Do not share with anyone.,0
Amazon Great Indian Sale: Get 50% off on grocery. Shop now: https://short.url/71209,0
Google Alert: New login detected from Hyderabad on Safari Mac. Approve? Reply Y/N,0
Your Yes Bank a/c 7366 debited ₹16031.00 on 15-Apr-25. UPI txn to VPA mobile@upi. Dispute: 1800560340,1
UPI AutoPay: ₹33307.00 deducted for Hotstar SUBSCRPTN Ref 311660. Next due 8-Apr-25 -SBI,1
Your Axis a/c 3768 credited ₹48228.00 (UPI Ref 966007) from VPA rajesh@okicici. Bal: ₹33913,1
Loan approved! Get ₹200000 personal loan at 10.9% interest. Call (411)938-4685x11778 -SBI Loans,0
