message,sender,merchant,amount,transaction_type,reference_number,date
Personal: debit of ₹4380.70 to Swiggy. Ref No 447971 on 2025-01-05,Personal,Swiggy,4380.7,debit,447971,2025-01-05
SBI: A/C credit ₹1978.16 via UPI to Amazon. Reference 330025,SBI,Amazon,1978.16,credit,330025,2025-01-22
Family: credit of ₹9753.19 to Paytm. Ref No 384328 on 2025-01-01,Family,Paytm,9753.19,credit,384328,2025-01-01
UPI Transaction: 327.93 credit from Axis Bank to Flipkart. Ref 243056,Axis Bank,Flipkart,327.93,credit,243056,2025-01-03
Kotak Mahindra Bank: credit of ₹1665.78 to Swiggy. Ref No 770005 on 2025-01-21,Kotak Mahindra Bank,Swiggy,1665.78,credit,770005,2025-01-21
UPI Transaction: 814.40 debit from Family to Netflix. Ref 151431,Family,Netflix,814.4,debit,151431,2025-01-29
UPI Transaction: 1595.95 debit from Yes Bank to Paytm. Ref 673361,Yes Bank,Paytm,1595.95,debit,673361,2025-01-24
Family Bank: Debit of ₹2879.73. Transaction with Flipkart. Ref: 931069,Family,Flipkart,2879.73,debit,931069,2025-01-04
Personal Bank: Debit of ₹3781.09. Transaction with Paytm. Ref: 509611,Personal,Paytm,3781.09,debit,509611,2025-01-03
UPI Transaction: 721.55 debit from SBI to PhonePe. Ref 667064,SBI,PhonePe,721.55,debit,667064,2025-01-05
Kotak Mahindra Bank Bank: Debit of ₹2189.45. Transaction with Swiggy. Ref: 909447,Kotak Mahindra Bank,Swiggy,2189.45,debit,909447,2025-01-23
UPi Transaction: 9051.31 credit from Family to Paytm. Ref 105943,Family,Paytm,9051.31,credit,105943,2025-01-02
SBI: debit of ₹4194.00 to Paytm. Ref No 164560 on 2025-01-06,SBI,Paytm,4194.0,debit,164560,2025-01-06
Personal: A/C debit ₹153.43 via UPi to Flipkart. Reference 291562,Personal,Flipkart,153.43,debit,291562,2025-02-02
SBI: debit of ₹1581.22 to Netflix. Ref No 884350 on 2025-01-10,SBI,Netflix,1581.22,debit,884350,2025-01-10
Personal: A/C credit ₹1745.54 via UPI to Google Play Store. Reference 568884,Personal,Google Play Store,1745.54,credit,568884,2025-01-15
UPI Transaction: 3862.82 debit from Axis Bank to Google Play Store. Ref 320242,Axis Bank,Google Play Store,3862.82,debit,320242,2025-01-25
Kotak Mahindra Bank: A/C credit ₹2969.64 via UPI to Zomato. Reference 306346,Kotak Mahindra Bank,Zomato,2969.64,credit,306346,2025-01-02
Friend: debit of ₹2457.26 to BookMyShow. Ref No 515628 on 2025-01-05,Friend,BookMyShow,2457.26,debit,515628,2025-01-05
Axis Bank: A/C credit ₹7663.02 via UPi to Google Play Store. Reference 428077,Axis Bank,Google Play Store,7663.02,credit,428077,2025-01-14
UPI Transaction: 1436.80 debit from SBI to Uber. Ref 158400,SBI,Uber,1436.8,debit,158400,2025-01-08
SBI: debit of ₹4867.86 to Ola. Ref No 440180 on 2025-02-02,SBI,Ola,4867.86,debit,440180,2025-02-02
Kotak Mahindra Bank: credit of ₹6340.90 to Myntra. Ref No 194806 on 2025-01-11,Kotak Mahindra Bank,Myntra,6340.9,credit,194806,2025-01-11
ICICI Bank: credit of ₹4128.70 to Netflix. Ref No 314056 on 2025-01-08,ICICI Bank,Netflix,4128.7,credit,314056,2025-01-08
UPI Transaction: 7279.65 credit from ICICI Bank to BookMyShow. Ref 302487,ICICI Bank,BookMyShow,7279.65,credit,302487,2025-01-05
HDFC Bank: debit of ₹657.73 to PhonePe. Ref No 459733 on 2025-01-25,HDFC Bank,PhonePe,657.73,debit,459733,2025-01-25
Friend: debit of ₹4367.32 to Uber. Ref No 134083 on 2025-01-03,Friend,Uber,4367.32,debit,134083,2025-01-03
Axis Bank: debit of ₹2120.04 to Google Play Store. Ref No 911168 on 2025-01-21,Axis Bank,Google Play Store,2120.04,debit,911168,2025-01-21
